source,headline,content,date
FXStreet,"Cardano price could be facing a steeper correction, suggests technicals","Cardano price has to climb above this level to avoid another pullback. On 
the 1-hour chart, ADA is bounded inside what seems to be a bear flag, which 
is a bearish ...","Nov 27, 2020"
Nasdaq,BUZZ-U.S. STOCKS ON THE MOVE-Chefs' Warehouse ...,"The views and opinions expressed herein are the views and opinions of the 
author and do not necessarily reflect those of Nasdaq, Inc. Trending 
Articles. Cardano ...","Oct 28, 2020"
CryptoSlate,"Cardano announces integration with Wolfram Alpha to create a new type of 
oracle","While Cardano isn't the first blockchain that integrated with Wolfram's 
computational technology and knowledge base, the partnership still 
represents a major step ...","Dec 17, 2020"
CryptoSlate,"This shift in the k-parameter marks the next phase of Cardano’s 
decentralization","Cardano's k-parameter is set to increase to 500 on Dec. 6, drastically 
diminishing rewards for large, oversaturated stake pools. The sharp rise in 
the parameter ...","Nov 19, 2020"
FXStreet,Cardano price prepares for a 30% dump as ADA technicals turn bearish,"Cardano was trading inside an ascending triangle on the 1-hour chart and 
had a breakdown on December 4. After losing the trendline support at $0.158 
the digital ...","Dec 4, 2020"
BTCMANAGER,Ergo Launches Oracle Solution for Cardano (ADA) to Foster ...,"Ergo wrote: “One of Cardano's oracles is utilizing data provided by Ergo's 
oracle pools. Marek, a Cardano Stake Pool operator, has built a simple 
solution ...","Nov 10, 2020"
FXStreet,Cardano Price Forecast: ADA on the cusp of a remarkable 26% rally to $0.132,"Cardano's bulls swing back into action. The smart contract token is trading 
at $0.105 at the time of writing. Support at $0.1 played a crucial role in 
the ongoing ...","Nov 17, 2020"
FXStreet,"Cardano Price Forecast: ADA consolidation to prevail ahead of significant 
breakout","Cardano plans to hold in consolidation ahead of 32% breakout to $0.36. 
Cardano launches new decentralized oracles for blockchain interoperability 
and ...","Nov 12, 2020"
newsbtc.com,"Hoskinson Estimates March 2021 For Full Decentralization of the Cardano 
Network","IOHK CEO Charles Hoskinson hosted a surprise AMA recently in which he 
announced a reduction in Cardano's “D” (decentralization) parameter to 0.5.","Oct 28, 2020"
Investing.com UK,Palladium Seen Besting 'Rocking' Platinum With 2021 Rally,"Cryptocurrency Leaders: Cardano And Polkadot, Four And Six On The Hit... By 
Andy Hecht - Feb 18, 2021 1 · Pinchas Cohen/Investing.com · Chart Of The 
Day: ...","Dec 18, 2020"
Yahoo Finance,"EXCLUSIVE: American Eagle Outfitters to Spend $5 Million on Retail 
Associates’ Education","... Dogecoin Army Recruit Gene Simmons Turns Cardano Adherent — Here's 
WhyDelay Pfizer COVID-19 Vaccine's 2nd Inoculation To Boost Supply?","Oct 21, 2020"
The Crimson Quarry,"Hoosiers score blowout win over Illinois, 79-56","Cardano-Hillary's scoring punch was the primary reason IU added her as a 
transfer this spring, and yet it's taken time for the former Atlantic-10 
Player of the Year ...",1 month ago
TWJ News,Cardano [ADA] To Fend Off Bears As It Speeds Towards The Bullish Realm,"Cardano [ADA] and XRP were seen topping the list as the biggest losers of 
the ongoing bear market. Other coins like Litecoin [LTC], as well as 
Chainlink [LINK], ...","Dec 9, 2020"
FXStreet,Cardano price must defend this level for a chance of jumping towards $0.17,"Cardano has lost the 12-hour chart uptrend and it's struggling to defend a 
critical support level at $0.144. Although bears are in control of the 
short-term, bulls still ...","Dec 23, 2020"
CryptoNinjas,"IOHK plans to achieve future Cardano smart contract compatibility with all 
programming languages","KEVM allows developers to deploy any smart contract on the Cardano 
blockchain platform written in Solidity, the programming language used to 
implement smart ...","Dec 3, 2020"
Bankless Times,Smart Contract Development for Cardano Has Begun: IOHK ...,"They can then be deployed on Cardano, allowing users to take advantage of 
lower fees, higher speeds, enhanced functionality and formally verified 
security.","Dec 18, 2020"
Crypto Briefing,"New Addresses Joining Cardano Jumps 202%, ADA Takes Aim at Yearly Highs","Cardano's price action has been contained within its 200- and 100-day 
moving average over the past two months. As ADA approaches a critical 
resistance barrier, ...","Nov 8, 2020"
CryptoSlate,"Introducing BeefChain, a rancher-to-retail supply chain traceability 
solution using Cardano","Cardano's Atala TRACE is a cherry on top of various traceability solutions 
employed by BeefChain. Enabling consumers to track the origin of the meat 
they ...","Nov 13, 2020"
CoinJournal,Cardano (ADA) price outlook suggests a 23% dump ...,"Cardano's current price is below the 20-EMA ($0.143) and the 50-EMA 
($0.148). These price levels have previously anchored ADA, but are now 
offering stubborn ...","Dec 11, 2020"
FXStreet,"Top 3 Gainers Of The Week Verge, Cardano, VeChain: Shrug-off the broad 
corrective trend","Cardano looks north amid a bullish technical setup. VeChain buyers seize 
control amid bullish crossover. Crypto markets witnessed massive volatility 
over the past ...","Nov 28, 2020"
Asia Crypto Today,What is PieDAO? Decentralized Tokenized ETFs,"Cardano (ADA): What is Cardano 2020 · ChainLink (Link): What is ChainLink 
Token? Enjin (ENJ): What is Enjin ? HackenAI (HAI) : What is HackenAI?","Nov 3, 2020"
Decrypt,eToro Unveils Staking-as-a-Service for Cardano and Tron,"eToro has unveiled a staking service for Tron and Cardano · The platform 
allows users to easily stake TRX and ADA. · Plans to support NEO, Tezos, 
EOS, and ETH ...","Oct 1, 2020"
Cointelegraph,"Africa is the future of DeFi, argues Cardano’s Charles Hoskinson","The CEO of Cardano developers IOHK sees a promising path towards DeFi 
adoption throughout the world's second-most populous continent. 12438 Total 
views.","Dec 12, 2020"
FXStreet,"Cardano Price Prediction: ADA must overcome a massive supply barrier to 
extend a recovery","Cardano's current market capitalization is registered at $4.2 billion, 
while its average daily trading volumes settled at $2.3 billion. Cardano 
bulls are waiting for the ...","Nov 26, 2020"
Coinspeaker,ADA/USD Analysis: Cardano Is Officialy in...,"By the end of the week Cardano Foundation was streaming back to back 
important updates. Daedalus has now a better stake pool ranking mechanism 
and final ...","Dec 13, 2020"
Forbes,eToro Announces Staking For Cardano And Tron,"eToro has started offering staking services for cardano and tron, and in 
addition has revealed plans to expand this service to several other digital 
currencies.","Oct 1, 2020"
AMBCrypto,"Monero, Cardano, BAT Price Analysis: 15 December","Monero showed bullish sentiment in the market over the past few weeks but 
also exhibited a bearish divergence that could see the price dip slightly. 
Cardano ...","Dec 16, 2020"
CryptoSlate,"Cardano introduces Smash, a new open-source stake pool metadata aggregation 
server","Cardano introduces Smash, a new open-source stake pool metadata aggregation 
server. Priyeshu Garg · November 24, 2020 at 5:25 pm UTC · 2 min read.","Nov 24, 2020"
Bitrates,"Litecoin-only Visa Card Launched, ADA Hard Forks, ETH ...","Cardano set for hard fork ahead of Goguen upgrade. Coinbase approves XRP 
Spark coin drop and Litecoin-only Visa card launches.","Dec 7, 2020"
The Coin Radar,Origin Dollar compensation plan marks progressing maturation of DeFi space,"... EOS · Cardano · Tron · Monero. Industry. HeatMap · People of blockchain 
· Blockchain YouTube and Twitter Accounts To Follow In 2021 · Events · 
Tutorials.","Dec 13, 2020"
Benzinga,"Cardano, EOS, & BTT - American Wrap For October 15","The current market capitalization of Cardano is $3.3 billion, gaining 
around $500 million in the past week after a significant surge. The digital 
asset topped out at ...","Oct 15, 2020"
The Coin Radar,ECB’s Lagarde Has ‘Hunch’ Digital Euro Will Launch in 2-4 Years,"... EOS · Cardano · Tron · Monero. Industry. HeatMap · People of blockchain 
· Blockchain YouTube and Twitter Accounts To Follow In 2021 · Events · 
Tutorials.","Nov 12, 2020"
Investing.com UK,UK's Capita in exclusive talks with PE firm Montagu for ESS ...,"Cryptocurrency Leaders: Cardano And Polkadot, Four And Six On The Hit... By 
Andy Hecht - Feb 18, 2021 1 · Pinchas Cohen/Investing.com · Chart Of The 
Day: ...","Nov 27, 2020"
FXStreet,"Cardano price attempts to slice through a massive supply barrier aiming for 
$0.11","Cardano price is bounded by the 50-SMA and the 200-SMA on the daily chart. 
The TD Sequential indicator has presented a buy signal that suggests the 
price of ...","Nov 5, 2020"
BTC-ECHO,Blockchain-Identität und DeFi: Was schlägt die Brücke ...,"Cardano. $ 1.0916.99% · Aave. $ 486.2410.72% · Stellar. $ 0.5261562.53% · 
IOTA. $ 1.531.38% · Alle Kurse · Krypto Kaufen · BTC-ECHO Logo BTC-ECHO ...","Oct 6, 2020"
Crypto News Flash,Cardano is changing parameter k – deadline for stake pool swap expires today,"Delegators with funds in staking pool with a saturation greater than 30% 
are advised to move their ADA. A full decentralization of Cardano is 
becoming more and ...","Dec 1, 2020"
Cointelegraph,Australian dev aims to bring Cardano payments to Shopify stores,"Shopify stores could soon allow users to pay for products with Cardano 
tokens with a new app that removes any payment intermediaries. 9921 Total 
views.","Oct 1, 2020"
Crypto Briefing,Cardano Makes New Yearly Highs While Technicals Warn of Potential Correction,"Cardano's price is up more more than 50% in the past four days as demand 
for ADA skyrockets. Don't Miss Market Moving News.","Nov 23, 2020"
Crypto News Flash,Cardano and Litecoin exploring cross-chain communication,"This could be made possible by a so-called 'velvet fork', but further 
investigations must first be completed. As Crypto News Flash has already 
reported, Cardano's ...","Oct 20, 2020"
Hoosier Sports Report,IU women ranked No. 16 in AP preseason poll,"25, but details for the final schedule are still being worked out. 
Cardano-Hillary on the list. SPRINGFIELD, Mass. — Indiana redshirt junior 
guard Nicole Cardaño- ...","Nov 10, 2020"
FXStreet,"Cryptocurrencies Price Prediction: Ripple, Dash & Cardano – Asian Wrap 22 
Dec","Cryptocurrencies Price Prediction: Ripple, Dash & Cardano – Asian Wrap 22 
Dec. Cryptos | 12/22/2020 4:21:21 AM GMT ...","Dec 22, 2020"
Yahoo Finance,"CRUNCH Bar Launches New Ad Campaign Introducing ""CRUNCHing"" Across Multiple 
Platforms","... Dogecoin Army Recruit Gene Simmons Turns Cardano Adherent — Here's 
WhyDelay Pfizer COVID-19 Vaccine's 2nd Inoculation To Boost Supply?","Nov 16, 2020"
AMBCrypto,Cardano initiates Hard Fork to introduce Token Locking,"A hard fork was initiated on the Cardano network a few hours ago, one that 
has largely gone unnoticed, presumably due to the way in which it was 
executed.","Dec 13, 2020"
BTCMANAGER,Cardano Releases New Roadmap for Goguen Launch ...,"Popular blockchain platform Cardano has released a roadmap for its upcoming 
network update, Goguen. Cardano research arm IOHK made this known in a ...","Oct 30, 2020"
Benzinga,"Bitcoin, Cardano & Compound - American Wrap: 11/10/2020","Cardano price has established a robust resistance barrier at $0.112, which 
is also the upper boundary of a 12-hour ascending triangle. A breakout 
above this ...","Nov 10, 2020"
Yahoo Finance,"Supermicro Scalable Liquid-Cooled Supercomputing Cluster Deployed at 
Lawrence Livermore National Laboratory for COVID-19 Research","... Dogecoin Army Recruit Gene Simmons Turns Cardano Adherent — Here's 
WhyDelay Pfizer COVID-19 Vaccine's 2nd Inoculation To Boost Supply?","Nov 12, 2020"
CryptoSlate,"PoS cryptocurrencies Cardano (ADA) and Polkadot (DOT) surge double digit 
percentages","PoS cryptocurrencies Cardano (ADA) and Polkadot (DOT) surge double digit 
percentages. Shaurya Malwa · December 29, 2020 at 1:01 pm UTC · 2 min read.",1 month ago
CryptoSlate,"Former ConsenSys partner speaks up on the leaderships of Cardano, Ethereum, 
and Polkadot","But other blockchains like Cardano are catching up, featuring lower (read: 
negligible) fees, and fast transactions. Fazel said in the regard, “A lot 
of people are ...","Nov 4, 2020"
Yahoo Finance,"TPG Pace Beneficial Finance Corp. Completes $350,000,000 Initial Public 
Offering","... Dogecoin Army Recruit Gene Simmons Turns Cardano Adherent — Here's 
WhyDelay Pfizer COVID-19 Vaccine's 2nd Inoculation To Boost Supply?","Oct 9, 2020"
newsbtc.com,"Charted: Cardano (ADA) Showing Signs of Fresh Rally, But 100 SMA is the Key","Cardano's price declined heavily towards $0.1300 before correcting higher, 
similar to bitcoin. ADA must clear the $0.1500 resistance and the 100 SMA 
(H4) to ...","Dec 10, 2020"
Crypto News Flash,Emurgo: Cardano adoption by enterprises will increase rapidly in 2021,"Cardano foundation developed a metadata connector to allow enterprises to 
leverage metadata for commercial uses. Cardano is an established and 
reputable ...","Dec 26, 2020"
Investing.com,Cardano Climbs 10% In Rally By Investing.com,"The move upwards pushed Cardano's market cap up to $4.768656B, or 0.74% of 
the total cryptocurrency market cap. At its highest, Cardano's market cap 
was ...","Dec 24, 2020"
Crowdfund Insider,Digital Asset Exchange Bitfinex Introduces Staking Rewards for Cardano (ADA),"According to the Cardano team, which is led by its founder Charles 
Hoskinson, the distributed ledger tech (DLT) platform offers a unique 
approach to scaling and ...","Oct 5, 2020"
The Daily Hodl,"Litecoin and Cardano Exploring ‘Velvet Fork’ Partnership – Here’s How the 
Crypto Collaboration Could Work","In July, Cardano creator Charles Hoskinson invited Litecoin Foundation 
managing director Charlie Lee to potentially collaborate on the testing of 
cross-chain ...","Oct 19, 2020"
https://bitnewstoday.com/,Cardano Will Achieve Full Decentralization By March,"IOHK CEO Charles HOSKINSON recently hosted a conference at which he 
announced a decrease in the ""D"" decentralization parameter to 0.5. At the 
current ...","Oct 30, 2020"
CryptoPotato,"After Surging 33% in a Week, What’s Next for Cardano? (ADA Price Analysis)","Cardano dropped from $0.125 in early September to initially reach the 
support at $0.087 (.5 Fib). The coin eventually penetrated beneath this 
level as we moved ...","Oct 1, 2020"
FXStreet,"Cardano Price Prediction: ADA on the verge of a 30% move ahead of network 
upgrade","Cardano (ADA) sits at the 8th position in the global cryptocurrency market 
rating. The coin hit the multi-month high at $0.194 on November 24 and has 
retreated ...","Dec 7, 2020"
CryptoSlate,Cardano is still the most heavily developed blockchain on GitHub,"The latest data from crypto data aggregator Santiment has shown that 
Cardano is still the number one blockchain by average daily development on 
GitHub.","Dec 9, 2020"
Investing.com Polska,Szczepionka Pfizer nie dla osób podatnych na ostre reakcje ...,"Kurs Cardano podskoczył 20%, podczas hossy · Bitcoin 10% w górę, podczas 
hossy · Cardano 11% w górę, podczas hossy. Logowanie/Darmowa rejestracja. 0.","Dec 9, 2020"
CryptoNinjas,IOHK launches unique ‘smart-contract-free’ solution for tokens on Cardano,"It also enables those assets to behave in a similar way to Cardano's 
currency, ADA, meaning that projects can take advantage of Cardano's speed, 
security, and ...","Dec 14, 2020"
AMBCrypto,Cardano Price Analysis: 30 December,"Like many other altcoins in the market, Cardano had also been witnessing a 
drop in upward momentum followed by a period of consolidation. However, 
this ...",1 month ago
Nairametrics,Cardano bazooka by 10%,"Cardano is a type of blockchain that permits people to receive and send 
funds. · ADA coin is the name is the cryptocurrency. · It uses the Cardano 
blockchain and it ...","Dec 17, 2020"
AMBCrypto,Cardano price analysis: 9 December,"Illustrated in the 1-hour chart, Cardano's recent drop came on the back of 
a descending triangle formation. This pattern carries bearish implications 
even as the ...","Dec 9, 2020"
Cointelegraph,First DeFi project on Cardano bridges from Polkadot,"2021, allows decentralized applications to be built on the network and 
ushers in the integration of DeFi projects to Cardano's ecosystem. IOHK CEO 
Charles ...","Dec 11, 2020"
CryptoPotato,"Cardano Price Analysis: ADA Withdraws From 2020 Highs With 7% Weekly 
Decline, What’s Next?","Against Bitcoin, it declined to 830 SAT today. ADA/USD – Cardano Drops 
Slightly From 2020 Highs. Key Support Levels: $0.155, $0.146, $0.14. Key ...","Dec 2, 2020"
Benzinga,"Maker, Cardano & Litecoin - American Wrap: 10/1/2020","Cardano's ADA had been range-bound with the bullish bias recently; however, 
the digital asset may be ready to resume the recovery amid the steady flow 
of ...","Oct 1, 2020"
CryptoSlate,How IOHK will put developers in charge of oracles on Cardano,"The recent announcement about the partnership with Wolfram Alpha has put 
Cardano's oracles into the spotlight. IOHK's ambitious plan for the 
blockchain will ...","Dec 19, 2020"
newsbtc.com,Cardano DeFi Development is in Full Swing,"Cardano Looking to Improve on Ethereum. Ethereum, as the biggest provider 
of DeFi services, is the platform every blockchain wants to emulate.","Oct 4, 2020"
FXStreet,"Cardano network activity explodes, suggesting that a breakout is underway","IOMAP shows price is floating above key support area. Since the beginning 
of October, Cardano is fluctuating in a relatively narrow band and is 
struggling to make ...","Nov 18, 2020"
Yahoo Finance,Is KB Financial (KB) Stock Undervalued Right Now?,"... Dogecoin Army Recruit Gene Simmons Turns Cardano Adherent — Here's 
WhyDelay Pfizer COVID-19 Vaccine's 2nd Inoculation To Boost Supply?","Nov 30, 2020"
Coindesk,eToro to Offer Staking Rewards for Holders of TRON and Cardano - CoinDesk,"The trading platform announced Thursday that the service, one of the first 
to offer staking for Cardano's native ADA token, will go live later this 
month. eToro will ...","Oct 1, 2020"
FXStreet,Cardano Price Prediction: 100-DMA is the level to beat for the ADA bulls,"Bullish momentum likely to persist in the week ahead. Amid a broad recovery 
seen across the crypto markets over the past week, Cardano (ADA/USD) is not 
left ...","Oct 10, 2020"
Cointelegraph,"Future elections could be held on the Cardano blockchain, says Hoskinson","Hoskinson acknowledged that the road to Cardano-based elections would be 
gradual and require a number of experiments. He suggested that it could 
start with ...","Oct 30, 2020"
iNVEZZ,Cardano (ADA) might become a way to pay at Shopify stores,"Crypto users might soon be able to use Cardano (ADA) to make direct 
payments to Shopify-based stores. · The new function will become available 
through an app ...","Oct 3, 2020"
Cointelegraph,Upcoming Cardano hard fork to introduce 'token locking' ahead of Goguen,"Launched in 2017 by Charles Hoskinson, Cardano has been dubbed by 
proponents as the “Ethereum killer” for its scaling capacity and advanced 
smart contract ...","Dec 4, 2020"
CryptoSlate,Governance in 2021: What the future holds for Cardano (ADA),"This year was about taking Cardano's training wheels off. Looking back on 
2020, very few projects have managed to evolve as much as Cardano did. 
The ...",1 month ago
Crypto News Flash,Cardano: That’s why Marlowe is better for DeFi than Ethereum’s Solidity,"Cardano's Domain Specific Language “Marlowe” is, according to IOHK, better 
for DeFi applications than Ethereum's Solidity. Marlowe is “industrial 
scale” and ...","Oct 9, 2020"
CoinJournal,Cardano price recovers above $0.10 as bulls target breakout ...,"Cardano's (ADA) token is trading around $0.104 against the US dollar and 
has crossed below the support barrier provided by the 100-day simple 
moving ...","Nov 9, 2020"
Altcoin Buzz,Cardano Releases Update on Its Native Tokens - Product Release & Updates,"Cardano's Mechanism on Native Tokenization. Cardano has introduced an 
approach whereby tokens are being handled natively. This implies that the 
logic is ...","Dec 17, 2020"
Crypto News Flash,"Cardano reaches important milestone and reduces parameter D to 0,5","Block production is one of the three components that IOHK has highlighted 
to achieve Cardano's decentralization. When parameter d is equal to 0, 
full ...","Oct 28, 2020"
Crypto News Flash,Cardano’s IOHK and Nervos to form a “global UTXO alliance”,"IOHK and Nervos will conduct joint research to improve the UTXO transaction 
verification model on Cardano. The partners will create a universal 
standard for ...","Dec 16, 2020"
AMBCrypto,‘Complete privacy coin’ not ideal if banks looking to hold Cardano [ADA],"According to the Cardano Foundation exec, the most important use cases and 
problems to be solved using Cardano will be in the area of Financial 
Services and ...","Nov 9, 2020"
Decrypt,Cardano's 12% Price Surge Leaves Top Cryptocurrencies in the Dust,"Cardano's 12% Price Surge Leaves Top Cryptocurrencies in the Dust. Cardano 
stormed ahead of all the other top ten cryptocurrencies by market cap in an 
end-of- ...","Oct 10, 2020"
The Market Periodical,Cardano introducing new ADA delegation program ...,"Cardano opened up a new world of staking and delegation with Shelley's 
deployment on mainnet in July. Tim Harrison, the Marketing Director For 
Input Output ...","Nov 27, 2020"
Crowdfund Insider,"Cardano (ADA) Joins Bitcoin (BTC) and Ethereum (ETH) by Integrating into 
Wolfram Computational Intelligence Engine","They claim that this “greatly expands Cardano's ability to offer new ways 
for developers to integrate advanced external information into their smart 
contacts.” IOHK ...",1 month ago
FXStreet,Cardano Price Analysis: ADA upswing could potentially hit $2.4,"Cardano is getting ready for a 37% upswing to $2.4 if the x-axis resistance 
is broken. ADA/USD will confirm the bullish outlook if it closes the day 
above the 50 ...","Dec 5, 2020"
Live Bitcoin News,"Cardano (ADA) Price Analysis: Holding Support, But Facing Major Hurdles","The price could either rally above the $0.1055 resistance or it might 
revisit the $0.1000 support. Cardano price is trading below key hurdles 
near $0.1055 against ...","Oct 27, 2020"
Crypto Briefing,"Staking With eToro: A Guide to Earning Cardano, TRON","eToro not only offers a convenient trading platform, but users can also 
earn by staking various cryptocurrencies like Cardano and TRON. 
Shutterstock cover by ...","Dec 8, 2020"
CryptoSlate,Major announcements on Cardano set to take place by the end of the year,"Progress continues to be made at Cardano. According to Hoskinson, November 
continued the trend of hiring at IOHK—he said that the company has been ...","Nov 25, 2020"
Crypto Briefing,You Can Now Stake Cardano and TRON on eToro's Trading Platform,"Crypto investors who use eToro can now automatically earn staking rewards. 
The platform currently supports Cardano (ADA) and TRON (TRX). Other 
exchanges ...","Oct 3, 2020"
ihodl.com,Cardano to Sponsor Adoption of Haskell Language,"Cryptocurrency ecosystem Cardano has officially become one of the first 
sponsors of the Haskell Foundation, an independent organization dedicated 
on ...","Nov 5, 2020"
iNVEZZ,Cardano (ADA) and Litecoin (LTC) plan to bridge the projects with a fork,"Cardano and Litecoin are planning to launch a velvet fork that would enable 
interoperability between them. The discussions on the topic have been 
on-going ...","Nov 25, 2020"
https://bitnewstoday.com/,Charles Hoskinson: Cardano's Goguen Era Starts In,"IOHK CEO Charles HOSKINSON spoke about Cardano's ongoing successes, 
including its partnership with Runtime Verification. As part of the 
partnership, the ...","Oct 12, 2020"
Crypto News Flash,"Cardano based BeefChain is tested on 1,600 calves in Wyoming","In a new article in the ADA Forum, the Cardano Foundation has presented the 
Cardano blockchain based solution, the BeefChain. As Elliot Hill writes in 
the ...","Nov 12, 2020"
Brave New Coin,Cardano Price Analysis - On-chain activity slumps after proof ...,"Cardano (ADA) is a smart contract platform focused on peer-review and 
scientific study, marketed as a “third generation blockchain.” The coin is 
down 92% from ...","Oct 6, 2020"
Investing.com India,Cardano Falls 10.07% In Bearish Trade,"It was the largest one-day percentage loss since Thursday, November 26, 
2020. The move downwards pushed Cardano's market cap down to $4.623455B, 
or ...","Dec 21, 2020"
The Cryptocurrency Analytics,"Cardano (ADA) Introduces Beefchain Track and Trace Solution for the Beef 
Market- Certainly, The Steaks are ...","Cardano (ADA) Introduces Beefchain Track and Trace Solution for the Beef 
Market- Certainly, The Steaks are High. November 18, 2020 Off By Ayobami 
Abiola ...","Nov 18, 2020"
Coinspeaker,"Social Investment Platform eToro Announces Staking Rewards for Cardano and 
Tron...","Social Investment Platform eToro Announces Staking Rewards for Cardano and 
Tron Holders. Oct 2 2020 · 09:07 UTC by Steve Muchoki · 3 min read 
Social ...","Oct 2, 2020"
Crypto News Flash,Cardano: IOHK provides update on Goguen’s progress,"Updates on Cardano's development progress will be made under a new format 
every 2 weeks. Introduced new version of GHC- 8.10 for the development 
of ...","Nov 13, 2020"
FXStreet,"Cardano Price Prediction: ADA eyes a 25% downswing if this bearish pattern 
confirms","Cardano is dancing at the extreme edge of a cliff, likely to fall to price 
levels under $0.1. A buy signal could appear on the 4-hour chart in the 
coming sessions, ...","Dec 11, 2020"
The Daily Hodl,"Company Behind AI Robot Sophia May Shift ‘Significant Portion’ of Platform 
From Ethereum to Cardano","Cardano's thoroughly formalized functional programming foundations have 
potential to provide a rich and flexible basis for implementing advanced 
aspects of the ...","Oct 1, 2020"
CryptoSlate,"Cardano’s Goguen update brings native tokens implementation and better dev 
tools","Cardano's Goguen update brings native tokens implementation and better dev 
tools. Priyeshu Garg · November 16, 2020 at 10:00 pm UTC · 2 min read.","Nov 16, 2020"
Crypto News Flash,IOTA co-founder considers collaboration and ‘bridge’ to Cardano,"As part of IOTA's partnership with Pantos and TU Vienna, an ERC20 migration 
tool is being developed, similar to Cardano. Dominik Schiener does not rule 
out a ...",1 month ago
newsbtc.com,"Charted: Cardano (ADA) is Primed For a Rally And Only 1 Thing is Holding it 
Back","Cardano's price is holding the $0.0950 support level and recovering higher. 
However, ADA must surpass $0.1020 and $0.1040 to start a fresh rally in the 
near ...","Oct 29, 2020"
Investing.com Polska,Pandemia pomniejszy zysk Pekao o 40% w 2020-po prezesa ...,"Kurs Cardano podskoczył 20%, podczas hossy · Bitcoin 10% w górę, podczas 
hossy · Cardano 11% w górę, podczas hossy. Logowanie/Darmowa rejestracja. 0.",1 month ago
CryptoSlate,IOHK’s new KEVM devnet opens up Cardano for Ethereum developers,"The company has also restarted its KEVM devnet program, which enables the 
Ethereum Virtual Machine to run with Cardano's K-framework. Cardano is 
gearing ...","Dec 23, 2020"
newsbtc.com,New Contender Emerges Despite Wikipedia’s Begrudging Listing of Cardano,"Kazemian spoke about how Cardano's recent experience, in listing a 
Wikipedia page, is representative of the main issue. That is, online 
encyclopedias have not ...","Nov 3, 2020"
Crypto Briefing,Investors in Disbelief as Cardano Prepares to Break Out,"Key Takeaways · Cardano remains dormant as its price action is capped by 
the 200 and 50-twelve-hour moving averages. · On-chain metrics shows that 
breaking ...","Oct 21, 2020"
newsbtc.com,New Cardano Roadmap Puts March 2021 Date For Goguen Mainet Rollout,"IOHK fired up the Cardano community by releasing details of the Goguen 
roadmap yesterday. After the successful rollout of Shelley, many look to 
Goguen as the ...","Oct 30, 2020"
Live Bitcoin News,Cardano (ADA) Price Analysis: More Downsides Possible Unless It Breaks $0.16,"The price could resume its decline unless there is a clear break above 
$0.1600 and $0.1620. Cardano price is back below the $0.1600 support 
against the US ...","Dec 22, 2020"
The Cryptocurrency Analytics,"Cardano (ADA) Steers into The Future: Path to Full Decentralization and 
more Use Cases","Cardano continues strong on its path to full decentralization as IOHK 
delivered on its word. December 6th, as projected, IOHK announced that 
Shelley's K ...","Dec 7, 2020"
CryptoSlate,"Cardano update: IOHK fired up for DeFi, mobile clients for Daedalus, and 
CBDCs","Nonetheless, the slow and steady approach championed by Charles Hoskinson, 
the founder, and CEO of IOHK, Cardano's parent company, almost never fails 
to ...","Oct 6, 2020"
The Daily Hodl,"XRP Price Explodes 30% in Sudden Altcoin Rally With Cardano and Stellar 
Among Biggest Gainers","XRP, Cardano (ADA) and Stellar (XLM) are shaking up the crypto markets and 
leading a sudden altcoin rally. In the last 24 hours, XRP has surged 30%. 
At time ...","Nov 21, 2020"
Nasdaq,CANADA STOCKS-TSX edges higher at open on energy support,"The views and opinions expressed herein are the views and opinions of the 
author and do not necessarily reflect those of Nasdaq, Inc. Trending 
Articles. Cardano ...","Nov 18, 2020"
CryptoSlate,Crypto bull run returns with 25% Cardano (ADA) rally,"As aforementioned, Cardano's native coin is also likely benefiting from a 
return of certain market participants that are acclimated with bidding up a 
certain group of ...","Nov 28, 2020"
